Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0182124633794695,-0.279999999999859,0.0962073296263657,0,0,0,0.650996744463774,0.0147521285230154,-1.98316660206466E-14,1.64644284963636E-15,0.0147521285230157,1.28047444670551E-16,0.0294437767852134,0,0,0,0,0,0,package://flycar1/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://flycar1/meshes/base_link.STL,,飞行部分650-1/机架650-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
shan1,0.0130510061555961,0.00670922605388478,0.380734911996731,0,0,0,0.091059098694857,0.000254430172839092,3.98832476084305E-12,9.87669263163625E-06,0.000472158411726339,2.73585065381819E-11,0.00025785072195545,0,0,0,0,0,0,package://flycar1/meshes/shan1.STL,1,1,1,1,0,0,0,0,0,0,package://flycar1/meshes/shan1.STL,,飞行部分650-1/上桨叶-1,Origin_1,Axis_z1,blade1up,fixed,-0.29643,-0.16443,0.12194,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
shan2,0.0613233745309867,0.0363128625038329,-0.00299422071796496,0,0,0,0.0910590982796897,0.000262541844060338,1.5070280984683E-11,7.71337321262446E-06,0.000472158406197901,2.32021279961897E-11,0.000249739045209857,0,0,0,0,0,0,package://flycar1/meshes/shan2.STL,1,1,1,1,0,0,0,0,0,0,package://flycar1/meshes/shan2.STL,,飞行部分650-1/上桨叶-2,Origin_2,Axis_z1,blade2up,fixed,0.22399,-0.60211,0.092336,1.5708,0,1.1387,base_link,0,0,0,,,,,,,,,,,,
shan3,0.0130510059163607,0.00670922598726396,0.380734912242198,0,0,0,0.0910590984874694,0.000254430171318802,3.97103585018592E-12,9.87669084123789E-06,0.00047215840811114,2.73817318194871E-11,0.000257850719864821,0,0,0,0,0,0,package://flycar1/meshes/shan3.STL,1,1,1,1,0,0,0,0,0,0,package://flycar1/meshes/shan3.STL,fist,飞行部分650-1/上桨叶-3,Origin_3,Axis_y1,blade3up,fixed,0.26,-0.39557,0.12194,1.5708,0,3.1416,base_link,0,0,0,,,,,,,,,,,,
sahn4,0.013051006225007,-0.00670922590719912,-0.38073491195847,0,0,0,0.0910590981925272,0.000254430171057355,-3.98509281177033E-12,-9.87669055865808E-06,0.000472158407519526,2.73644666983244E-11,0.000257850719529874,0,0,0,0,0,0,package://flycar1/meshes/sahn4.STL,1,1,1,1,0,0,0,0,0,0,package://flycar1/meshes/sahn4.STL,,飞行部分650-1/上桨叶-4,Origin_4,Axis_y1,blade4up,fixed,0.097357,-0.001784,0.12194,-1.5708,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,
tou,-0.134824310995846,0.115041097999054,-0.0750000000000001,0,0,0,1.522713843331,0.0149257458036302,-0.000921583154264689,3.90000326433926E-18,0.0167821545637735,1.17137314330476E-18,0.0184692661677145,0,0,0,0,0,0,package://flycar1/meshes/tou.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://flycar1/meshes/tou.STL,,机体_1014-1,Origin_t1,Axis_l1,head,fixed,0.094742,-0.355,-0.11666,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
zuo,0.0716717779429541,8.32667268468867E-17,0.0150000000000001,0,0,0,0.254971008311362,0.000143913945586389,3.18484388167617E-19,-3.24407258987913E-18,0.00246825453258363,-9.74764294418046E-20,0.00257290646446158,0,0,0,0,0,0,package://flycar1/meshes/zuo.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://flycar1/meshes/zuo.STL,,腿160_2-1,Origin_z1,Axis_z1,left hip,revolute,-0.15637,0.068631,0.013,0,0,-0.50761,tou,0,0,1,0,0,0,0,,,,,,,,
zuoxia,-0.194914767890928,1.17683640610267E-14,0.00999999999999973,0,0,0,0.327867300642188,0.000105165440495972,5.83436294068762E-18,-6.63804471836475E-18,0.00495572549888622,4.65228864046098E-20,0.00503903311933938,0,0,0,0,0,0,package://flycar1/meshes/zuoxia.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://flycar1/meshes/zuoxia.STL,,腿212-1,Origin_zx1,Axis_z1,left ankle,revolute,0.36022,0.059837,0.005,0,0,0.92369,zuo,0,0,1,0,0,0,0,,,,,,,,
lun1,2.45636844198316E-14,4.40758540776187E-14,0.0150000000000002,0,0,0,0.297523179657174,0.000436067791446482,-2.16840434497101E-19,-1.57926199076428E-19,0.000436067791446482,2.71465102576709E-19,0.000830824034432122,0,0,0,0,0,0,package://flycar1/meshes/lun1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://flycar1/meshes/lun1.STL,,轮子-1,Origin_l1,Axis_l1,left wheel,continuous,-0.376,0,0.025,0,0,-0.5493,zuoxia,0,0,1,,,,,,,,,,,,
you,0.0694143647456296,-0.137599241336888,-0.0149999999999999,0,0,0,0.254971008311362,0.000323097906280746,-0.000619981984101711,2.8974111371265E-18,0.00228907057188927,9.34453038612362E-19,0.00257290646446158,0,0,0,0,0,0,package://flycar1/meshes/you.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://flycar1/meshes/you.STL,,腿160_2-2,Origin_y1,Axis_z1,right hip,revolute,-0.045,0.18,-0.163,0,0,-0.78896,tou,0,0,1,0,0,0,0,,,,,,,,
